heap_size,retry_rate,list_size,gc_cycle,total_bytes_allocated,total_time
7000000,14,large,44,144446768,83660856732
7000000,15,small,14,48108368,16539989096
7000000,15,medium,28,96224816,41161262142
7000000,15,large,44,144446000,84388499018
7000000,16,small,14,48108464,16548564358
7000000,16,medium,28,96228272,41141768262
7000000,16,large,44,144445616,83401377030
7000000,17,small,14,48108848,16677610378
7000000,17,medium,28,96229136,41462468655
7000000,17,large,44,144446192,83804535015
7000000,18,small,14,48107888,16551053514
7000000,18,medium,28,96227504,41467309682
7000000,18,large,44,144447248,83744460024
7000000,19,small,14,48104816,16648039872
7000000,19,medium,28,96230960,41011110611
7000000,19,large,44,144446960,83437782205
7000000,20,small,14,48107792,16701707046
7000000,20,medium,28,96226928,41173327567
7000000,20,large,44,144450128,84357580394
7000000,21,small,14,48105296,16695572625
7000000,21,medium,28,96229424,41313474212
7000000,21,large,44,144446384,84273481994
7000000,22,small,14,48107696,16707842589
7000000,22,medium,28,96228656,41265927575
7000000,22,large,44,144446480,84353296081
7000000,23,small,14,48108368,16656595197
7000000,23,medium,28,96224240,41277695151
7000000,23,large,44,144444848,83882328718
7000000,24,small,14,48110576,16593716341
7000000,24,medium,28,96227600,41422954669
7000000,24,large,44,144442832,83768970936
7000000,25,small,14,48108752,16671633324
7000000,25,medium,28,96232016,40999029269
7000000,25,large,44,144449456,84261222628
7000000,26,small,14,48106352,16616000627
7000000,26,medium,28,96230096,40977512998
7000000,26,large,44,144448496,84147638908
7000000,27,small,14,48106832,16704396507
7000000,27,medium,28,96226736,41031820973
7000000,27,large,44,144445808,83671055996
7000000,28,small,14,48104720,16698269032
7000000,28,medium,28,96229040,41295916026
7000000,28,large,44,144448016,83857672639
7000000,29,small,14,48105392,16698503435
7000000,29,medium,28,96229616,41311754971
7000000,29,large,44,144452528,84060074084
8000000,5,small,12,48106736,16769774467
8000000,5,medium,24,96227984,41397508674
8000000,5,large,38,144446960,83629529246
8000000,6,small,12,48109232,16551991620
8000000,6,medium,24,96228272,40996205754
8000000,6,large,38,144443504,83857290269
8000000,7,small,12,48105008,16628583057
8000000,7,medium,24,96227504,40955173725
8000000,7,large,38,144446384,83969747193
8000000,8,small,12,48106448,16607751827
8000000,8,medium,24,96230096,41103105684
8000000,8,large,38,144440720,83848421212
8000000,9,small,12,48107024,16579437398
8000000,9,medium,24,96231536,41126809094
8000000,9,large,38,144448112,83346738034
8000000,10,small,12,48108464,16634172106
8000000,10,medium,24,96230960,41261909373
8000000,10,large,38,144450608,83827423385
8000000,11,small,12,48106160,16514787484
8000000,11,medium,24,96230960,41329357598
8000000,11,large,38,144447440,83779251139
8000000,12,small,12,48106736,16686649650
8000000,12,medium,24,96228944,41026085032
8000000,12,large,38,144444080,83654816900
8000000,13,small,12,48111056,16626616093
8000000,13,medium,24,96229328,41333453006
8000000,13,large,38,144440624,83879621551
8000000,14,small,12,48109232,16658947845
8000000,14,medium,24,96229616,41046599542
8000000,14,large,38,144446864,83980706502
